num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,hour,type_photo,type_status,type_video
310,540,41,284,26,0,0,0,0,8,0,0,1
293,6,1,275,15,3,0,0,0,6,1,0,0
378,512,30,348,27,2,0,0,1,0,0,0,1
421,709,30,373,45,2,0,1,0,22,0,0,1
117,2,53,108,9,0,0,0,0,12,1,0,0
203,18,11,190,7,6,0,0,0,3,1,0,0
1005,25,1,979,16,9,1,0,0,0,1,0,0
202,145,23,182,19,0,0,0,1,23,0,0,1
212,116,11,201,10,1,0,0,0,3,0,0,1
225,157,17,211,14,0,0,0,0,2,0,0,1
171,46,5,156,12,2,1,0,0,9,0,0,1
247,120,16,232,14,1,0,0,0,2,0,0,1
269,453,39,242,26,1,0,0,0,5,0,0,1
258,486,32,235,23,0,0,0,0,2,0,0,1
109,2,1,104,5,0,0,0,0,1,1,0,0
280,199,25,254,24,2,0,0,0,6,0,0,1
325,77,21,293,30,1,1,0,0,5,0,0,1
280,825,47,243,35,1,1,0,0,2,0,0,1
365,805,46,320,39,1,3,0,2,3,0,0,1
226,449,37,189,25,1,1,10,0,1,0,0,1
104,49,13,91,12,0,0,1,0,1,0,0,1
244,589,48,213,29,1,1,0,0,0,0,0,1
252,558,41,204,45,1,1,0,1,8,0,0,1
121,15,4,114,4,2,1,0,0,8,0,0,1
103,8,3,99,4,0,0,0,0,0,1,0,0
136,31,16,122,14,0,0,0,0,23,0,0,1
337,247,27,300,35,1,1,0,0,21,0,0,1
175,157,14,157,18,0,0,0,0,0,0,0,1
339,424,36,296,38,1,4,0,0,7,0,0,1
177,131,27,150,27,0,0,0,0,0,0,0,1
403,525,42,363,36,1,3,0,0,4,0,0,1
148,4,3,144,4,0,0,0,0,2,1,0,0
150,24,2,144,6,0,0,0,0,23,1,0,0
144,15,8,140,4,0,0,0,0,6,0,1,0
298,491,46,262,34,2,0,0,0,3,0,0,1
171,4,1,166,5,0,0,0,0,2,1,0,0
374,588,46,327,47,0,0,0,0,8,0,0,1
267,20,1,249,8,10,0,0,0,9,1,0,0
98,23,5,95,2,1,0,0,0,7,1,0,0
174,6,1,167,5,2,0,0,0,6,1,0,0
64,5,1,59,5,0,0,0,0,10,1,0,0
192,417,40,168,22,1,1,0,0,1,0,0,1
110,18,6,110,0,0,0,0,0,0,1,0,0
119,12,7,117,2,0,0,0,0,0,1,0,0
234,355,34,178,52,2,0,1,1,23,0,0,1
147,17,7,141,5,1,0,0,0,9,1,0,0
299,564,42,262,34,1,1,0,1,7,0,0,1
629,11,1,607,18,4,0,0,0,2,1,0,0
219,110,17,190,26,1,2,0,0,0,0,0,1
398,605,30,348,44,3,3,0,0,1,0,0,1
182,3,4,177,5,0,0,0,0,1,1,0,0
317,158,32,269,47,1,0,0,0,22,0,0,1
571,888,107,459,107,1,1,1,2,5,0,0,1
74,6,3,74,0,0,0,0,0,1,1,0,0
368,911,50,317,50,1,0,0,0,4,0,0,1
162,6,2,158,3,1,0,0,0,2,1,0,0
734,996,73,601,116,11,6,0,0,23,0,0,1
42,16,9,41,1,0,0,0,0,0,0,1,0
33,6,3,31,2,0,0,0,0,9,0,1,0
29,6,1,29,0,0,0,0,0,1,0,0,1
475,574,48,406,63,4,2,0,0,9,0,0,1
50,8,2,49,1,0,0,0,0,23,1,0,0
94,23,6,94,0,0,0,0,0,22,1,0,0
303,34,3,291,11,1,0,0,0,8,0,0,1
168,7,1,167,1,0,0,0,0,7,1,0,0
390,17,2,382,5,3,0,0,0,2,1,0,0
191,2,2,188,2,1,0,0,0,8,1,0,0
364,7,2,347,15,2,0,0,0,2,1,0,0
282,524,38,247,34,0,1,0,0,7,0,0,1
369,14,1,362,7,0,0,0,0,7,1,0,0
138,16,6,133,4,1,0,0,0,8,1,0,0
96,9,1,93,1,2,0,0,0,9,1,0,0
282,19,4,257,20,3,2,0,0,23,0,0,1
383,8,1,367,13,3,0,0,0,4,1,0,0
885,462,26,659,220,0,2,0,0,7,0,0,1
185,11,1,175,10,0,0,0,0,7,1,0,0
259,1,1,251,7,0,1,0,0,4,1,0,0
199,9,1,186,13,0,0,0,0,23,1,0,0
717,40,1,680,30,7,0,0,0,4,1,0,0
351,4,1,344,6,0,0,0,0,9,1,0,0
305,5,1,295,10,0,0,0,0,2,1,0,0
71,10,2,70,1,0,0,0,0,6,1,0,0
67,6,3,66,0,1,0,0,0,23,1,0,0
239,5,2,229,8,0,0,2,0,22,1,0,0
228,1,1,220,7,1,0,0,0,8,1,0,0
498,254,17,408,77,5,6,1,1,0,0,0,1
166,5,2,159,7,0,0,0,0,0,1,0,0
272,265,20,228,44,0,0,0,0,3,0,0,1
127,7,1,125,2,0,0,0,0,2,1,0,0
33,1,1,33,0,0,0,0,0,0,0,0,0
264,8,3,257,5,2,0,0,0,7,1,0,0
152,5,1,148,3,1,0,0,0,6,1,0,0
172,7,7,163,6,2,1,0,0,5,0,0,1
616,523,21,459,125,21,8,0,1,2,0,0,1
593,309,23,484,99,1,4,4,1,8,0,0,1
97,8,2,94,3,0,0,0,0,1,1,0,0
77,13,4,77,0,0,0,0,0,9,1,0,0
38,6,3,38,0,0,0,0,0,9,1,0,0
34,10,6,34,0,0,0,0,0,9,1,0,0
23,5,1,22,1,0,0,0,0,7,1,0,0
217,24,5,206,10,1,0,0,0,0,0,0,1
161,9,2,158,3,0,0,0,0,1,1,0,0
97,9,3,95,2,0,0,0,0,8,1,0,0
166,11,1,165,1,0,0,0,0,5,1,0,0
121,18,3,110,11,0,0,0,0,1,0,0,1
33,9,1,33,0,0,0,0,0,0,1,0,0
286,61,5,250,30,5,1,0,0,22,0,0,1
104,6,1,102,2,0,0,0,0,4,1,0,0
91,10,4,90,0,1,0,0,0,4,1,0,0
629,16,1,610,16,2,1,0,0,5,1,0,0
58,4,3,58,0,0,0,0,0,5,0,0,1
213,2,2,207,6,0,0,0,0,0,1,0,0
463,48,2,450,8,4,1,0,0,23,1,0,0
1186,37,1,1161,19,6,0,0,0,3,1,0,0
591,560,49,498,84,3,4,1,1,22,0,0,1
424,8,1,411,13,0,0,0,0,10,1,0,0
439,10,3,424,15,0,0,0,0,9,1,0,0
1043,117,24,984,58,1,0,0,0,9,0,1,0
84,7,1,84,0,0,0,0,0,0,0,1,0
46,3,1,46,0,0,0,0,0,10,0,0,0
51,8,6,51,0,0,0,0,0,2,0,0,1
85,9,2,83,2,0,0,0,0,1,1,0,0
213,13,1,212,1,0,0,0,0,22,1,0,0
204,128,4,184,17,0,2,1,0,9,0,0,1
256,427,30,191,62,1,2,0,0,4,0,0,1
148,54,2,126,18,4,0,0,0,22,0,0,1
195,95,5,162,30,0,3,0,0,11,0,0,1
138,25,2,125,11,2,0,0,0,1,0,0,1
627,266,8,519,105,2,0,1,0,9,0,0,1
162,75,6,145,16,0,1,0,0,1,0,0,1
266,165,10,215,42,3,4,2,0,8,0,0,1
113,2,1,107,3,2,0,1,0,0,1,0,0
256,103,16,205,47,1,2,0,1,1,0,0,1
186,1,1,184,0,2,0,0,0,7,1,0,0
135,9,2,118,10,4,2,1,0,7,0,0,1
174,195,3,146,18,5,4,1,0,6,0,0,1
171,84,4,159,10,2,0,0,0,23,0,0,1
148,16,5,146,1,1,0,0,0,4,1,0,0
304,9,6,298,5,1,0,0,0,5,1,0,0
412,4,2,399,13,0,0,0,0,6,1,0,0
353,8,2,342,9,1,1,0,0,8,1,0,0
144,14,1,142,2,0,0,0,0,5,1,0,0
905,10,5,876,21,8,0,0,0,4,1,0,0
151,19,2,129,18,2,1,1,0,6,0,0,1
227,3,4,218,8,1,0,0,0,7,1,0,0
340,1201,47,276,55,1,6,1,1,0,0,0,1
189,22,2,185,3,1,0,0,0,9,1,0,0
113,15,1,100,9,1,1,2,0,1,0,0,1
133,19,2,115,13,4,1,0,0,22,0,0,1
322,8,1,311,8,3,0,0,0,10,1,0,0
373,4,3,367,5,1,0,0,0,5,1,0,0
249,147,8,193,50,2,4,0,0,4,0,0,1
239,127,7,189,47,0,3,0,0,23,0,0,1
135,9,1,131,3,1,0,0,0,8,1,0,0
154,72,6,124,24,3,2,1,0,1,0,0,1
542,21,1,521,11,9,1,0,0,21,1,0,0
279,274,15,233,42,4,0,0,0,1,0,0,1
65,4,1,65,0,0,0,0,0,0,0,0,1
190,11,1,182,5,3,0,0,0,10,1,0,0
320,4,1,309,10,1,0,0,0,11,1,0,0
445,432,27,315,124,2,3,0,1,21,0,0,1
196,7,8,190,2,4,0,0,0,6,1,0,0
607,383,52,446,159,1,0,0,1,4,0,0,1
93,2,1,90,3,0,0,0,0,9,0,1,0
245,169,37,205,33,5,2,0,0,4,0,0,1
225,12,29,222,2,1,0,0,0,0,0,1,0
133,4,2,128,5,0,0,0,0,9,1,0,0
170,11,2,159,11,0,0,0,0,9,1,0,0
261,36,1,256,5,0,0,0,0,6,1,0,0
154,19,7,153,1,0,0,0,0,0,1,0,0
130,13,2,124,3,2,1,0,0,7,1,0,0
113,12,5,111,2,0,0,0,0,4,1,0,0
77,4,2,77,0,0,0,0,0,23,1,0,0
119,8,2,113,5,1,0,0,0,0,0,0,1
182,2,21,180,2,0,0,0,0,23,1,0,0
155,1,4,148,4,0,0,3,0,20,1,0,0
38,7,1,38,0,0,0,0,0,23,0,0,1
218,2,5,214,0,0,0,4,0,5,1,0,0
266,9,1,237,1,0,0,28,0,22,1,0,0
164,2,13,150,8,0,1,5,0,8,1,0,0
73,1,17,66,4,0,0,3,0,20,1,0,0
654,1,50,617,32,0,0,5,0,2,1,0,0
495,9,227,443,42,0,0,10,0,12,1,0,0
476,3,212,452,16,0,0,8,0,0,1,0,0
77,1,38,76,1,0,0,0,0,10,0,1,0
295,3,10,243,1,0,0,51,0,0,1,0,0
95,1,2,73,1,0,0,21,0,7,1,0,0
132,10,1,124,5,1,0,2,0,9,1,0,0
296,80,5,242,44,5,3,1,1,6,0,0,1
169,34,1,148,17,4,0,0,0,1,0,0,1
60,8,4,58,2,0,0,0,0,2,0,1,0
109,5,1,104,5,0,0,0,0,1,0,0,1
46,3,1,44,2,0,0,0,0,2,0,0,0
93,14,4,89,4,0,0,0,0,5,0,0,1
164,17,1,156,7,1,0,0,0,3,1,0,0
33,4,4,31,1,1,0,0,0,23,0,0,0
153,19,1,147,3,2,1,0,0,0,1,0,0
173,1,58,172,0,0,0,1,0,22,1,0,0
168,1,1,160,6,2,0,0,0,5,1,0,0
51,10,1,51,0,0,0,0,0,3,0,0,1
198,4,6,193,4,0,1,0,0,8,1,0,0
44,3,7,44,0,0,0,0,0,23,0,0,1
43,4,12,41,1,1,0,0,0,23,0,0,1
105,3,3,101,3,1,0,0,0,4,1,0,0
272,5,4,265,4,3,0,0,0,7,1,0,0
148,9,6,143,2,3,0,0,0,1,1,0,0
91,13,14,86,2,3,0,0,0,9,1,0,0
188,26,3,166,19,1,2,0,0,21,0,0,1
122,18,20,120,1,1,0,0,0,2,1,0,0
105,4,1,102,2,1,0,0,0,22,1,0,0
87,1,1,83,2,2,0,0,0,9,0,0,1
50,1,1,49,1,0,0,0,0,0,1,0,0
105,8,2,97,7,0,1,0,0,7,0,0,1
89,4,1,84,5,0,0,0,0,5,0,0,1
101,1,2,98,2,1,0,0,0,4,1,0,0
90,4,1,88,1,0,0,1,0,4,1,0,0
126,6,2,120,5,1,0,0,0,9,1,0,0
441,31,2,423,13,2,3,0,0,22,1,0,0
302,186,3,244,50,2,4,1,1,7,0,0,1
185,40,2,171,12,2,0,0,0,0,0,0,1
177,7,1,173,2,2,0,0,0,8,1,0,0
309,102,1,260,43,5,1,0,0,9,0,0,1
326,2,1,319,7,0,0,0,0,8,1,0,0
199,8,1,193,4,1,1,0,0,23,1,0,0
226,93,3,203,20,3,0,0,0,6,0,0,1
63,11,1,61,2,0,0,0,0,22,0,0,0
185,3,1,178,6,1,0,0,0,4,1,0,0
198,30,3,152,42,0,3,0,1,2,0,0,1
126,4,1,122,3,1,0,0,0,2,1,0,0
120,1,1,117,3,0,0,0,0,2,1,0,0
248,52,1,206,39,2,0,0,1,22,0,0,1
178,14,1,173,3,2,0,0,0,6,1,0,0
170,3,17,169,1,0,0,0,0,12,1,0,0
53,3,1,52,1,0,0,0,0,22,0,1,0
320,6,60,318,2,0,0,0,0,9,1,0,0
336,154,111,328,4,3,1,0,0,6,1,0,0
54,2,4,54,0,0,0,0,0,10,1,0,0
124,13,2,122,0,2,0,0,0,3,1,0,0
220,52,1,193,25,0,1,1,0,10,0,0,1
150,2,1,146,4,0,0,0,0,9,0,1,0
223,1,1,219,4,0,0,0,0,9,1,0,0
102,1,1,101,1,0,0,0,0,23,1,0,0
334,13,1,332,2,0,0,0,0,3,1,0,0
354,184,1,306,44,0,3,0,1,1,0,0,1
367,11,3,346,0,21,0,0,0,8,1,0,0
72,3,27,72,0,0,0,0,0,21,1,0,0
59,16,1,59,0,0,0,0,0,2,0,1,0
113,1,32,113,0,0,0,0,0,8,0,1,0
230,62,8,207,19,3,1,0,0,21,0,0,1
69,15,2,68,1,0,0,0,0,23,1,0,0
96,18,1,96,0,0,0,0,0,12,1,0,0
111,19,2,110,1,0,0,0,0,6,1,0,0
89,20,1,87,2,0,0,0,0,2,1,0,0
63,18,2,61,2,0,0,0,0,22,1,0,0
83,24,3,83,0,0,0,0,0,22,0,1,0
141,24,2,140,0,1,0,0,0,1,1,0,0
124,21,1,119,2,3,0,0,0,4,1,0,0
107,16,1,106,1,0,0,0,0,2,1,0,0
264,27,3,264,0,0,0,0,0,23,1,0,0
48,4,4,48,0,0,0,0,0,10,0,0,0
360,131,5,292,60,1,5,1,1,10,0,0,1
165,15,1,165,0,0,0,0,0,1,1,0,0
130,19,2,128,2,0,0,0,0,19,1,0,0
68,16,3,68,0,0,0,0,0,5,1,0,0
99,14,1,99,0,0,0,0,0,21,1,0,0
70,21,1,70,0,0,0,0,0,8,1,0,0
66,14,1,65,1,0,0,0,0,8,1,0,0
81,14,1,80,0,1,0,0,0,8,1,0,0
39,5,1,39,0,0,0,0,0,3,0,0,1
171,78,3,167,4,0,0,0,0,3,0,0,1
136,44,1,131,3,1,1,0,0,2,0,0,1
231,30,5,227,1,3,0,0,0,4,1,0,0
86,14,1,85,1,0,0,0,0,4,1,0,0
165,89,1,162,2,1,0,0,0,3,0,0,1
200,18,1,197,1,2,0,0,0,4,1,0,0
180,15,1,178,1,1,0,0,0,4,1,0,0
157,124,1,157,0,0,0,0,0,3,0,0,1
188,242,6,187,1,0,0,0,0,9,0,0,1
43,4,1,43,0,0,0,0,0,2,0,0,0
119,31,2,119,0,0,0,0,0,6,0,0,1
358,10,3,354,0,4,0,0,0,23,1,0,0
180,84,4,171,8,1,0,0,0,1,0,0,1
227,173,1,223,2,1,1,0,0,9,0,0,1
131,39,1,130,1,0,0,0,0,8,0,0,1
325,13,1,322,3,0,0,0,0,5,1,0,0
113,2,1,113,0,0,0,0,0,5,0,0,1
102,13,1,102,0,0,0,0,0,5,0,0,1
70,10,2,68,0,2,0,0,0,10,0,0,1
177,145,3,176,0,1,0,0,0,10,0,0,1
117,18,1,116,1,0,0,0,0,9,0,0,1
238,41,3,234,3,1,0,0,0,11,0,0,1
350,389,6,342,7,1,0,0,0,8,0,0,1
323,407,8,307,12,4,0,0,0,8,0,0,1
487,93,13,472,9,5,1,0,0,8,0,0,1
59,6,5,59,0,0,0,0,0,22,0,0,0
90,13,1,90,0,0,0,0,0,5,1,0,0
22,2,1,22,0,0,0,0,0,1,0,0,1
87,1,4,83,2,2,0,0,0,3,0,1,0
348,3,2,345,2,1,0,0,0,21,1,0,0
292,10,1,285,5,2,0,0,0,20,1,0,0
251,20,4,248,2,1,0,0,0,6,1,0,0
40,2,4,39,1,0,0,0,0,4,0,0,1
56,9,1,56,0,0,0,0,0,2,0,1,0
147,2,17,144,2,1,0,0,0,12,1,0,0
231,5,1,220,7,4,0,0,0,4,1,0,0
71,6,2,71,0,0,0,0,0,0,0,0,1
68,3,3,63,3,0,2,0,0,22,0,0,1
74,9,6,74,0,0,0,0,0,4,0,0,1
249,10,1,249,0,0,0,0,0,4,1,0,0
57,9,3,57,0,0,0,0,0,3,0,0,1
279,18,2,279,0,0,0,0,0,23,1,0,0
68,13,1,68,0,0,0,0,0,1,0,1,0
73,19,2,73,0,0,0,0,0,2,0,1,0
44,9,4,44,0,0,0,0,0,22,0,0,1
66,2,1,66,0,0,0,0,0,1,1,0,0
246,5,1,246,0,0,0,0,0,5,1,0,0
263,19,2,263,0,0,0,0,0,6,1,0,0
216,16,2,216,0,0,0,0,0,4,1,0,0
271,37,1,271,0,0,0,0,0,3,1,0,0
182,1,16,182,0,0,0,0,0,1,1,0,0
192,26,2,192,0,0,0,0,0,3,1,0,0
130,19,1,130,0,0,0,0,0,3,1,0,0
385,16,191,385,0,0,0,0,0,1,1,0,0
108,16,2,108,0,0,0,0,0,22,1,0,0
176,4,1,176,0,0,0,0,0,2,1,0,0
246,13,1,246,0,0,0,0,0,2,1,0,0
318,7,1,318,0,0,0,0,0,8,1,0,0
370,16,1,370,0,0,0,0,0,6,1,0,0
212,11,3,212,0,0,0,0,0,4,1,0,0
184,3,1,184,0,0,0,0,0,22,1,0,0
246,9,2,246,0,0,0,0,0,6,1,0,0
189,13,1,189,0,0,0,0,0,6,1,0,0
136,5,1,136,0,0,0,0,0,9,1,0,0
376,18,16,376,0,0,0,0,0,8,0,1,0
68,9,1,68,0,0,0,0,0,6,0,1,0
142,2,2,142,0,0,0,0,0,7,0,1,0
106,12,2,106,0,0,0,0,0,2,0,1,0
1052,12,7,1052,0,0,0,0,0,8,0,1,0
1014,14,2,1014,0,0,0,0,0,22,0,1,0
951,13,1,951,0,0,0,0,0,2,0,1,0
987,13,1,987,0,0,0,0,0,7,0,1,0
945,9,2,945,0,0,0,0,0,3,0,1,0
950,8,3,950,0,0,0,0,0,5,0,1,0
991,10,1,991,0,0,0,0,0,6,0,1,0
1251,17,1,1251,0,0,0,0,0,1,0,1,0
1244,13,1,1244,0,0,0,0,0,4,0,1,0
954,6,1,954,0,0,0,0,0,9,1,0,0
1143,154,64,1143,0,0,0,0,0,3,1,0,0
1218,12,1,1218,0,0,0,0,0,23,0,1,0
1259,211,78,1259,0,0,0,0,0,2,0,1,0
1164,222,72,1164,0,0,0,0,0,1,0,1,0
1029,11,1,1029,0,0,0,0,0,0,1,0,0
1197,12,5,1197,0,0,0,0,0,3,0,0,1
951,6,1,951,0,0,0,0,0,2,0,0,1
121,14,11,121,0,0,0,0,0,0,0,0,1
1069,20,3,1069,0,0,0,0,0,1,1,0,0
1077,21,3,1077,0,0,0,0,0,4,1,0,0
1188,14,1,1188,0,0,0,0,0,22,1,0,0
1081,15,2,1081,0,0,0,0,0,21,0,1,0
1092,17,23,1092,0,0,0,0,0,1,0,0,1
1172,199,62,1172,0,0,0,0,0,1,0,1,0
1128,10,8,1128,0,0,0,0,0,4,1,0,0
1125,363,122,1125,0,0,0,0,0,0,1,0,0
1231,27,1,1231,0,0,0,0,0,23,1,0,0
1140,297,92,1140,0,0,0,0,0,3,1,0,0
1191,22,2,1191,0,0,0,0,0,8,1,0,0
55,2,9,55,0,0,0,0,0,9,0,0,1
270,14,37,270,0,0,0,0,0,1,0,0,1
380,24,3,380,0,0,0,0,0,0,1,0,0
1169,3,26,1169,0,0,0,0,0,20,0,0,0
1103,24,18,1103,0,0,0,0,0,3,0,0,1
1159,32,4,1159,0,0,0,0,0,22,1,0,0
1010,14,4,1010,0,0,0,0,0,7,0,0,0
1182,29,5,1182,0,0,0,0,0,12,1,0,0
1193,38,5,1193,0,0,0,0,0,3,1,0,0
1272,7,1,1272,0,0,0,0,0,13,1,0,0
1126,66,6,1126,0,0,0,0,0,22,1,0,0
1246,41,3,1246,0,0,0,0,0,9,1,0,0
1282,35,4,1282,0,0,0,0,0,4,1,0,0
1253,42,6,1253,0,0,0,0,0,3,1,0,0
1132,16,8,1132,0,0,0,0,0,22,0,0,0
1204,9,5,1204,0,0,0,0,0,23,0,0,1
1212,7,1,1212,0,0,0,0,0,9,0,0,0
1277,14,29,1277,0,0,0,0,0,0,0,0,1
98,3,1,98,0,0,0,0,0,23,0,1,0
1253,13,4,1253,0,0,0,0,0,5,1,0,0
1300,18,1,1300,0,0,0,0,0,5,1,0,0
366,28,5,366,0,0,0,0,0,2,1,0,0
1294,23,47,1294,0,0,0,0,0,3,0,0,1
1078,131,50,1078,0,0,0,0,0,9,0,0,1
413,29,3,413,0,0,0,0,0,23,1,0,0
1077,243,65,1077,0,0,0,0,0,6,0,0,1
860,196,64,860,0,0,0,0,0,5,0,0,1
748,38,12,748,0,0,0,0,0,7,0,0,1
1053,5,1,1053,0,0,0,0,0,5,0,0,1
147,4,1,147,0,0,0,0,0,12,0,0,1
357,7,1,357,0,0,0,0,0,1,0,0,1
1211,84,8,1211,0,0,0,0,0,3,0,0,1
323,12,1,323,0,0,0,0,0,21,0,0,1
774,25,7,774,0,0,0,0,0,9,0,0,1
1058,29,12,1058,0,0,0,0,0,2,0,0,1
230,4,1,230,0,0,0,0,0,8,0,0,1
1204,23,13,1204,0,0,0,0,0,5,0,0,1
375,15,1,375,0,0,0,0,0,11,0,0,1
435,9,1,435,0,0,0,0,0,3,0,0,1
572,6,2,572,0,0,0,0,0,23,0,0,1
532,19,1,532,0,0,0,0,0,6,0,0,1
471,10,1,471,0,0,0,0,0,0,0,0,1
640,31,2,640,0,0,0,0,0,10,0,0,1
376,3,20,376,0,0,0,0,0,1,1,0,0
591,41,2,591,0,0,0,0,0,7,0,0,1
519,17,7,519,0,0,0,0,0,5,0,0,1
287,5,1,287,0,0,0,0,0,7,0,0,1
543,17,11,543,0,0,0,0,0,7,0,0,1
653,19,3,653,0,0,0,0,0,6,0,0,1
404,6,7,404,0,0,0,0,0,9,0,0,1
345,7,1,345,0,0,0,0,0,10,0,0,1
227,11,7,227,0,0,0,0,0,10,0,0,1
748,40,4,748,0,0,0,0,0,4,0,0,1
406,3,2,406,0,0,0,0,0,11,0,0,1
548,36,5,548,0,0,0,0,0,5,0,0,1
641,14,2,641,0,0,0,0,0,1,0,0,1
489,13,1,489,0,0,0,0,0,10,0,0,1
187,12,1,187,0,0,0,0,0,9,0,0,1
893,23,2,893,0,0,0,0,0,5,0,0,1
406,18,8,406,0,0,0,0,0,14,0,0,1
329,10,1,329,0,0,0,0,0,13,0,0,1
525,14,1,525,0,0,0,0,0,0,0,0,1
615,20,4,615,0,0,0,0,0,23,0,0,1
742,10,1,742,0,0,0,0,0,4,0,0,1
596,17,1,596,0,0,0,0,0,4,0,0,1
1230,31,2,1230,0,0,0,0,0,3,0,0,1
758,24,3,758,0,0,0,0,0,5,0,0,1
322,9,12,322,0,0,0,0,0,13,0,0,1
924,22,6,924,0,0,0,0,0,6,0,0,1
537,16,1,537,0,0,0,0,0,5,1,0,0
442,17,11,442,0,0,0,0,0,5,0,0,1
699,10,2,699,0,0,0,0,0,23,0,0,1
332,3,2,332,0,0,0,0,0,6,0,0,1
972,16,2,972,0,0,0,0,0,1,0,0,1
493,14,2,493,0,0,0,0,0,9,0,0,1
665,9,1,665,0,0,0,0,0,7,0,0,1
562,5,1,562,0,0,0,0,0,1,0,0,1
767,26,2,767,0,0,0,0,0,23,0,0,1
722,9,1,722,0,0,0,0,0,5,0,0,1
637,8,1,637,0,0,0,0,0,9,0,0,1
108,6,2,108,0,0,0,0,0,6,0,0,1
685,10,2,685,0,0,0,0,0,5,0,0,1
371,3,1,371,0,0,0,0,0,23,0,0,1
973,8,1,973,0,0,0,0,0,23,0,0,1
778,24,2,778,0,0,0,0,0,10,0,0,1
493,17,1,493,0,0,0,0,0,8,0,0,1
306,7,1,306,0,0,0,0,0,23,0,0,1
405,6,1,405,0,0,0,0,0,11,0,0,1
426,9,2,426,0,0,0,0,0,5,0,0,1
880,24,1,880,0,0,0,0,0,10,0,0,1
461,17,1,461,0,0,0,0,0,5,0,0,1
589,18,1,589,0,0,0,0,0,10,0,0,1
849,25,1,849,0,0,0,0,0,5,0,0,1
109,6,3,109,0,0,0,0,0,12,0,0,1
413,7,2,413,0,0,0,0,0,6,0,0,1
399,34,4,399,0,0,0,0,0,5,0,0,1
714,46,5,714,0,0,0,0,0,1,0,0,1
576,17,3,576,0,0,0,0,0,23,0,0,1
621,16,8,621,0,0,0,0,0,18,0,0,1
603,13,1,603,0,0,0,0,0,0,0,0,1
327,6,6,327,0,0,0,0,0,14,0,0,1
505,21,11,505,0,0,0,0,0,12,0,0,1
514,10,2,514,0,0,0,0,0,5,0,0,1
906,22,3,906,0,0,0,0,0,0,0,0,1
800,26,2,800,0,0,0,0,0,0,0,0,1
715,18,6,715,0,0,0,0,0,5,0,0,1
969,46,4,969,0,0,0,0,0,14,0,0,1
